date,close
02-03-20,172.79
03-03-20,164.51
04-03-20,170.55
05-03-20,166.27
06-03-20,161.57
09-03-20,150.62
10-03-20,160.92
11-03-20,153.63
12-03-20,139.06
13-03-20,158.83
16-03-20,135.42
17-03-20,146.57
18-03-20,140.4
19-03-20,142.71
20-03-20,137.35
23-03-20,135.98
24-03-20,148.34
25-03-20,146.92
26-03-20,156.11
27-03-20,149.7
30-03-20,160.23
31-03-20,157.71
01-04-20,152.11
02-04-20,155.26
03-04-20,153.83
06-04-20,165.27
07-04-20,163.49
08-04-20,165.13
09-04-20,165.14
13-04-20,165.51
14-04-20,173.7
15-04-20,171.88
16-04-20,177.04
17-04-20,178.6
20-04-20,175.06
21-04-20,167.82
22-04-20,173.52
23-04-20,171.42
24-04-20,174.55
27-04-20,174.05
28-04-20,169.81
29-04-20,177.43
30-04-20,179.21
01-05-20,174.57
04-05-20,178.84
05-05-20,180.76
06-05-20,182.54
07-05-20,183.6
08-05-20,184.68
11-05-20,186.74
12-05-20,182.51
13-05-20,179.75
14-05-20,180.53
15-05-20,183.16
18-05-20,184.91
19-05-20,183.63
20-05-20,185.66
21-05-20,183.43
22-05-20,183.51
26-05-20,181.57
27-05-20,181.81
28-05-20,181.4
29-05-20,183.25
01-06-20,182.83
02-06-20,184.91
03-06-20,185.36
04-06-20,182.92
05-06-20,187.2
08-06-20,188.36
09-06-20,189.8
10-06-20,196.84
11-06-20,186.27
12-06-20,187.74
15-06-20,188.94
16-06-20,193.57
17-06-20,194.24
18-06-20,196.32
19-06-20,195.15
22-06-20,200.57
23-06-20,201.91
24-06-20,197.84
25-06-20,200.34
26-06-20,196.33
29-06-20,198.44
30-06-20,203.51
01-07-20,204.7
02-07-20,206.26
06-07-20,210.7
07-07-20,208.25
08-07-20,212.83
09-07-20,214.32
10-07-20,213.67
13-07-20,207.07
14-07-20,208.35
15-07-20,208.04
16-07-20,203.92
17-07-20,202.88
20-07-20,211.6
21-07-20,208.75
22-07-20,211.75
23-07-20,202.54
24-07-20,201.3
27-07-20,203.85
28-07-20,202.02
29-07-20,204.06
30-07-20,203.9
31-07-20,205.01
03-08-20,216.54
04-08-20,213.29
05-08-20,212.94
06-08-20,216.35
07-08-20,212.48
10-08-20,208.25
11-08-20,203.38
12-08-20,209.19
13-08-20,208.7
14-08-20,208.9
17-08-20,210.28
18-08-20,211.49
19-08-20,209.7
20-08-20,214.58
21-08-20,213.02
24-08-20,213.69
25-08-20,216.47
26-08-20,221.15
27-08-20,226.58
28-08-20,228.91
31-08-20,225.53
01-09-20,227.27
02-09-20,231.65
03-09-20,217.3
04-09-20,214.25
08-09-20,202.66
09-09-20,211.29
10-09-20,205.37
11-09-20,204.03
14-09-20,205.41
15-09-20,208.78
16-09-20,205.05
17-09-20,202.91
18-09-20,200.39
21-09-20,202.54
22-09-20,207.42
23-09-20,200.59
24-09-20,203.19
25-09-20,207.82
28-09-20,209.44
29-09-20,207.26
30-09-20,210.33
01-10-20,212.46
02-10-20,206.19
05-10-20,210.38
06-10-20,205.91
07-10-20,209.83
08-10-20,210.58
09-10-20,215.81
12-10-20,221.4
13-10-20,222.86
14-10-20,220.86
15-10-20,219.66
16-10-20,219.66
19-10-20,214.22
20-10-20,214.65
21-10-20,214.8
22-10-20,214.89
23-10-20,216.23
26-10-20,210.08
27-10-20,213.25
28-10-20,202.68
29-10-20,204.72
30-10-20,202.47
02-11-20,202.33
03-11-20,206.43
04-11-20,216.39
05-11-20,223.29
06-11-20,223.72
09-11-20,218.39
10-11-20,211.01
11-11-20,216.55
12-11-20,215.44
13-11-20,216.51
16-11-20,217.23
17-11-20,214.46
18-11-20,211.08
19-11-20,212.42
20-11-20,210.39
23-11-20,210.11
24-11-20,213.86
25-11-20,213.87
27-11-20,215.23
30-11-20,214.07
01-12-20,216.21
